[MMIO]: Address: 0x20100000 | Value: 0x0000706D | mp
[MMIO]: Address: 0x20100004 | Value: 0x003000FF | 0
[MMIO]: Address: 0x20100008 | Value: 0x0000706D | mp
[MMIO]: Address: 0x2010000C | Value: 0x0000706D | mp
[MMIO]: Address: 0x20100010 | Value: 0x0000706D | mp
[MMIO]: Address: 0x20100014 | Value: 0x0000706D | mp
[MMIO]: Address: 0x20100018 | Value: 0x009EE9FF |
[MMIO]: Address: 0x2010001C | Value: 0x00003202 | 2
[MMIO]: Address: 0x20100020 | Value: 0x00001000 |
[MMIO]: Address: 0x20100024 | Value: 0x00000000 |
[MMIO]: Address: 0x20100028 | Value: 0x0000001B |
[MMIO]: Address: 0x2010002C | Value: 0x0000001B |
[MMIO]: Address: 0x20100030 | Value: 0x0000001B |
[MMIO]: Address: 0x20100034 | Value: 0x0000001B |
[MMIO]: Address: 0x20100038 | Value: 0x0000001B |
[MMIO]: Address: 0x2010003C | Value: 0x00000000 |
[MMIO]: Address: 0x20100040 | Value: 0x0000706D | mp
[MMIO]: Address: 0x20100044 | Value: 0x00000000 |
[MMIO]: Address: 0x20100048 | Value: 0x00000000 |
[MMIO]: Address: 0x2010004C | Value: 0x00000000 |
[MMIO]: Address: 0x20100050 | Value: 0x00000000 |
[MMIO]: Address: 0x20100054 | Value: 0x00000000 |
[MMIO]: Address: 0x20100058 | Value: 0x00000001 |
[MMIO]: Address: 0x2010005C | Value: 0x00000001 |
[MMIO]: Address: 0x20100060 | Value: 0x00000000 |
[MMIO]: Address: 0x20100064 | Value: 0x00000000 |
[MMIO]: Address: 0x20100068 | Value: 0x00000000 |
[MMIO]: Address: 0x2010006C | Value: 0x00000001 |
[MMIO]: Address: 0x20100070 | Value: 0x00000000 |
[MMIO]: Address: 0x20100074 | Value: 0x00400000 | @
[MMIO]: Address: 0x20100078 | Value: 0x00400000 | @
[MMIO]: Address: 0x2010007C | Value: 0x00000000 |
[MMIO]: Address: 0x20100080 | Value: 0x00000000 |
[MMIO]: Address: 0x20100084 | Value: 0x00000000 |
[MMIO]: Address: 0x20100088 | Value: 0x00000000 |
[MMIO]: Address: 0x2010008C | Value: 0x0000706D | mp
[MMIO]: Address: 0x20100090 | Value: 0x0000706D | mp
[MMIO]: Address: 0x20100094 | Value: 0x0000706D | mp
[MMIO]: Address: 0x20100098 | Value: 0x0000706D | mp
[MMIO]: Address: 0x2010009C | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000A0 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000A4 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000A8 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000AC | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000B0 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000B4 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000B8 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000BC | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000C0 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000C4 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000C8 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000CC | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000D0 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000D4 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000D8 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000DC | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000E0 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000E4 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000E8 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000EC | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000F0 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000F4 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000F8 | Value: 0x0000706D | mp
[MMIO]: Address: 0x201000FC | Value: 0x00000001 |
[MMIO]: Address: 0x20100100 | Value: 0x0000706D | mp
[MMIO]: Address: 0x20100104 | Value: 0x0000706D | mp
[MMIO]: Address: 0x20100108 | Value: 0x0000107F |
[MMIO]: Address: 0x2010010C | Value: 0x00001000 |
[MMIO]: Address: 0x20100110 | Value: 0x0000107F |

[MMIO]: Address: 0x2000A000 | Value: 0x00000000 |
[MMIO]: Address: 0x2000A004 | Value: 0x00000007 |
[MMIO]: Address: 0x2000A008 | Value: 0x00000007 |
[MMIO]: Address: 0x2000A00C | Value: 0x00000007 |
[MMIO]: Address: 0x2000A010 | Value: 0x00000007 |
[MMIO]: Address: 0x2000A014 | Value: 0x00000007 |
[MMIO]: Address: 0x2000A018 | Value: 0x00000007 |
[MMIO]: Address: 0x2000A01C | Value: 0x00000007 |
[MMIO]: Address: 0x2000A020 | Value: 0x62726467 | gdrb

[MMIO]: Address: 0x20C00000 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00004 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00008 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0000C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00010 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00014 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00018 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0001C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00020 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00024 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00028 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0002C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00030 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00034 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00038 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0003C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00040 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00044 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00048 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0004C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00050 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00054 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00058 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0005C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00060 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00064 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00068 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0006C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00070 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00074 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00078 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0007C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00080 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00084 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00088 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0008C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00090 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00094 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00098 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0009C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000A0 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000A4 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000A8 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000AC | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000B0 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000B4 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000B8 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000BC | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000C0 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000C4 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000C8 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000CC | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000D0 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000D4 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000D8 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000DC | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000E0 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000E4 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000E8 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000EC | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000F0 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000F4 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000F8 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C000FC | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00100 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00104 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00108 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0010C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00110 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00114 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00118 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0011C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00120 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00124 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00128 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0012C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00130 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00134 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00138 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0013C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00140 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00144 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00148 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0014C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00150 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00154 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00158 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0015C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00160 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00164 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00168 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0016C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00170 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00174 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00178 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0017C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00180 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00184 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00188 | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C0018C | Value: 0xDEADBEEF |
[MMIO]: Address: 0x20C00190 | Value: 0xDEADBEEF |
